"Country Name	","2005 [YR2005]	","2006 [YR2006]	","2007 [YR2007]	","2008 [YR2008]	",2009,"[YR2009]	2010","[YR2010]	2011","[YR2011]	2012","[YR2012]	2013","[YR2013]	2014"
Europe & Central Asia (excluding high income),0.809595944,0.809556726,0.867512429,0.83577737,0.957499844,0.907179561,0.897308876,0.935789256,0.927790305,1.009791552
Europe & Central Asia (IDA & IBRD countries),0.773048045,0.77123381,0.823521786,0.804214108,0.912345536,0.878726631,0.876216143,0.927130814,0.91986467,0.997424675
European Union,1.75383505,1.774663185,1.777017347,1.846192205,1.937882669,1.930485099,1.971781435,2.012119608,2.027028066,2.035183901
Finland,3.329760075,3.33762002,3.345769882,3.54708004,3.74883008,3.725980043,3.638809919,3.419480085,3.296829939,3.1738801
France,2.044470072,2.045269966,2.020030022,2.057590008,2.209100008,2.175090075,2.190639973,2.229069948,2.24326992,2.255990028
Germany,2.422529936,2.456039906,2.44633007,2.597120047,2.726439953,2.713670015,2.795619965,2.871670008,2.826469898,2.868540049
Greece,0.578960001,0.561179996,0.576550007,0.661830008,0.625569999,0.598380029,0.671959996,0.69957,0.812510014,0.838450015
Hungary,0.925069988,0.985769987,0.962040007,0.985230029,1.139269948,1.146729946,1.196200013,1.27038002,1.397310019,1.370720029
IBRD only,0.848620441,0.875843667,0.90023722,0.964808146,1.03675936,1.109265987,1.148113299,1.291285898,1.347022903,1.496750702
Ireland,1.194270015,1.198819995,1.234179974,1.389310002,1.614549994,1.606619954,1.532649994,1.563609958,1.53599,1.518890023
Israel,4.039440155,4.128190041,4.407440186,4.329140186,4.120999813,3.929909945,4.010980129,4.128580093,4.088160038,4.108580112
Italy,1.046609998,1.086459994,1.132169962,1.163110018,1.220659971,1.22221005,1.208799958,1.269760013,1.305819988,1.286999941
Japan,3.308700085,3.409100056,3.461420059,3.467060089,3.357340097,3.253940105,3.383130074,3.343139887,3.474090099,3.584180117
"Korea, Rep.",2.62616992,2.830660105,3.000339985,3.123440027,3.293230057,3.465939999,3.743619919,4.025529861,4.148519993,4.291629791
Kyrgyz Republic,0.198609993,0.230140001,0.234249994,0.190170005,0.15997,0.155469999,0.156330004,0.166099995,0.14914,0.126440004
Late-demographic dividend,1.02795117,1.033129539,1.064188642,1.126088124,1.281490036,1.324757203,1.310764663,1.455802086,1.543015516,1.655568053
Latvia,0.530200005,0.651719987,0.554769993,0.582270026,0.453150004,0.611339986,0.698629975,0.666530013,0.612839997,0.690389991
Lithuania,0.747409999,0.791190028,0.800930023,0.788439989,0.829670012,0.783479989,0.904250026,0.895060003,0.950810015,1.014770031
Luxembourg,1.587440014,1.686660051,1.609089971,1.643669963,1.710260034,1.527369976,1.49526,1.28839004,1.301429987,1.256100059
"Macao SAR, China",0.090329997,0.084629998,0.058060002,0.102509998,0.05477,0.049910001,0.044530001,0.048110001,0.05139,0.08681
Malta,0.565699995,0.615920007,0.578909993,0.559689999,0.544759989,0.684750021,0.713620007,0.89319998,0.884570003,0.848089993
Mexico,0.403560013,0.373079985,0.368499994,0.403829992,0.431410015,0.45460999,0.425630003,0.431950003,0.501230001,0.538119972
Moldova,0.398649991,0.406219989,0.545580029,0.534630001,0.525569975,0.43987,0.404989988,0.417329997,0.354189992,0.371520013
Mongolia,0.237749994,0.191210002,0.23827,0.336670011,0.304780006,0.244379997,0.230540007,0.239130005,0.233140007,0.227310002
Netherlands,1.791030049,1.756700039,1.686339974,1.64309001,1.685400009,1.724750042,1.903059959,1.939450026,1.957939982,1.972800016
Norway,1.483170033,1.455979943,1.564779997,1.555500031,1.723850012,1.650869966,1.627539992,1.620239973,1.653679967,1.710229993
Poland,0.565989971,0.55321002,0.562279999,0.603309989,0.666000009,0.720809996,0.746010005,0.881089985,0.870819986,0.940500021
Portugal,0.757070005,0.954550028,1.124269962,1.445199966,1.579730034,1.532570004,1.456830025,1.377769947,1.326410055,1.2852
Romania,0.407469988,0.45122999,0.52056998,0.568409979,0.461670011,0.452060014,0.493160009,0.481449991,0.38657999,0.383370012
Russian Federation,1.067970037,1.072939992,1.116109967,1.044350028,1.251919985,1.130200028,1.090690017,1.125620008,1.132789969,1.186910033
Serbia,0.416850001,0.466780007,0.350360006,0.373100013,0.866129994,0.744270027,0.72438997,0.906910002,0.726840019,0.775770009
Singapore,2.160670042,2.133280039,2.336990118,2.620820045,2.159250021,2.012969971,2.150549889,1.999469995,2.000479937,2.185780048
Slovak Republic,0.495620012,0.477030009,0.449440002,0.463180006,0.47477001,0.617879987,0.664990008,0.808099985,0.82735002,0.886219978
Slovenia,1.412289977,1.532909989,1.423820019,1.625640035,1.816290021,2.057630062,2.423579931,2.579469919,2.603929996,2.386470079
Spain,1.095770001,1.172180057,1.234480023,1.317080021,1.351369977,1.349650025,1.325129986,1.28410995,1.261729956,1.231389999
Sweden,3.387000084,3.500319958,3.256609917,3.495249987,3.449650049,3.216120005,3.249180079,3.281339884,3.306050062,3.160900116
Trinidad and Tobago,0.093960002,0.055259999,0.04589,0.030719999,0.056650002,0.050250001,0.041930001,0.04589,0.052069999,0.078160003
Tunisia,0.711950004,0.677259982,0.665509999,0.639400005,0.706439972,0.690259993,0.707599998,0.680739999,0.661140025,0.641030014
Turkey,0.591040015,0.580160022,0.722410023,0.72517997,0.849020004,0.843429983,0.859529972,0.921959996,0.944769979,1.007130027
Ukraine,1.168959975,0.94907999,0.853190005,0.846440017,0.856440008,0.830980003,0.737800002,0.751670003,0.761749983,0.658720016
United Kingdom,1.629649997,1.649559975,1.684120059,1.687369943,1.740800023,1.694710016,1.690649986,1.621780038,1.664319992,1.700690031
Upper middle income,0.887091245,0.915103499,0.970385127,1.022341312,1.162174075,1.198323378,1.241615765,1.344679897,1.483800035,1.568566271
"														",,,,,,,,,,
"														",,,,,,,,,,
"														",,,,,,,,,,
